machine_id,site_session_id,domain_id.x,ref_domain_name,pages_viewed,duration,event_date.x,event_time.x,tran_flg,domain_name.x,prod_category_id,prod_name,domain_id.y,prod_qty,prod_totprice,basket_tot,event_date.y,event_time.y,domain_name.y
94299345,75789046827,4.04667E+18,NA,52,42,20140218,4:10:13,1,amazon.com,9,New - Koldfront 6 Place Setting Countertop Dishwasher - White by Koldfront  : CompactAppliance,4.05E+18,1,211.92,211.92,20140218,4:46:11,amazon.com
94299345,75789046827,4.04667E+18,NA,52,42,20140218,4:10:13,1,amazon.com,28,Viair 00088 88P Portable Air Compressor  : Amazon.com LLC,4.05E+18,1,67.19,78.78,20140218,4:44:06,amazon.com
94299345,75789046827,4.04667E+18,NA,52,42,20140218,4:10:13,1,amazon.com,14,Motorola Vehicle Power Adapter micro-USB Rapid Rate Charger  : OrionGadgets,4.05E+18,1,6.89,78.78,20140218,4:44:06,amazon.com
94299345,75807921195,1.05842E+19,NA,6,6,20140218,3:02:48,1,ebay.com,33,New Otterbox Glacier Defender Series Belt Clip Holster Case For Motorola Moto G  speed-motion,1.06E+19,1,39.95,39.95,20140218,3:05:20,ebay.com
94299345,77529420808,1.75912E+19,NA,42,89,20140114,16:28:52,1,google.com,13,Large Pan Pizza - Build Your Own,6.86E+18,1,NA,16.03,20140114,17:36:38,pizzahut.com
94299345,79003980797,4.04667E+18,NA,16,38,20140103,4:10:35,1,amazon.com,27,Rearth Invisible Defender Premium Screen Protector for Motorola G - Retail Packaging - Clear  : Rearth,4.05E+18,1,6.99,215.97,20140103,4:46:54,amazon.com
94299345,79003980797,4.04667E+18,NA,16,38,20140103,4:10:35,1,amazon.com,27,Motorola Moto G - Global GSM - Unlocked - 16GB  : Amazon.com LLC,4.05E+18,1,199.99,215.97,20140103,4:46:54,amazon.com
94299345,79003980797,4.04667E+18,NA,16,38,20140103,4:10:35,1,amazon.com,27,Ringke Slim Premium Hard Case Cover for Moto G - Retail Packaging - Black  : Rearth,4.05E+18,1,9.99,215.97,20140103,4:46:54,amazon.com
94299345,79368098812,4.04667E+18,amazon.com,23,7,20140102,18:42:30,1,amazon.com,19,"Rockin Green Cloth Diaper and Laundry Detergent (Funk Rock Ammonia Bouncer), 16oz  : ToysNGamesEtc",4.05E+18,1,15.6,43.6,20140102,18:48:46,amazon.com
94299345,79368098812,4.04667E+18,amazon.com,23,7,20140102,18:42:30,1,amazon.com,19,OsoCozy - Indian Cotton - Prefold Cloth Diapers - Unbleached Regular 4x6x4 (dozen)  All Together,4.05E+18,1,28,43.6,20140102,18:48:46,amazon.com
94299345,85680788495,1.05842E+19,ebay.com,21,27,20140121,18:54:35,1,ebay.com,23,New Pink Hello Kitty Silicone Soft Back Cover Case For HTC Wildfire S G13  cj_58,1.06E+19,1,13.99,13.99,20140121,19:20:54,ebay.com
94569215,35475887349,8.59064E+18,papajohns.com,8,25,20140908,20:36:44,1,papajohns.com,13,"Large Original Crust Pepperoni Whole Toppings: Pepperoni Sauce: Original Instructions: Normal Cut, Normal Bake, Normal Cheese, Reg Sauce Portion",8.59E+18,1,13.5,16.39,20140908,20:56:11,papajohns.com
94569215,35475887349,8.59064E+18,papajohns.com,8,25,20140908,20:36:44,1,papajohns.com,13,"Large Thin Crust Pizza Whole Toppings: Beef, Pepperoni, Green Olives Sauce: Original Instructions: Reg Sauce Portion, Normal Cheese, Normal Bake, Normal Cut",8.59E+18,1,16.5,16.39,20140908,20:56:11,papajohns.com
94965215,36068857077,7.99783E+18,NA,12,19,20140908,12:24:15,1,llbean.com,3,Large Boat and Tote Bag 521464,8.00E+18,1,24.95,26.45,20140908,12:38:30,llbean.com
94965215,36124693780,6.22347E+18,NA,15,10,20141009,14:44:06,1,uhaul.com,45,10' truck Truck uhaul,6.22E+18,1,NA,125,20141009,14:53:39,uhaul.com
94965215,51374396571,7.72579E+18,google.com,30,15,20140610,16:14:11,1,qvc.com,16,Poo-Pourri Set of 4 2oz. Seasonal Bathroom Sprays with Box,7.73E+18,1,26.12,34.28,20140610,16:27:00,qvc.com
95005695,42203288787,4.04667E+18,amazon.com,17,17,20140805,2:40:00,1,amazon.com,3,"Bumblebee Bee Yellow Smiley Toddler Backpack 12 Inch , Cute  Bo Toys and Gifts",4.05E+18,1,11.95,51.41,20140805,2:50:35,amazon.com
95005695,42203288787,4.04667E+18,amazon.com,17,17,20140805,2:40:00,1,amazon.com,3,"Transformers Backpack with Bumblebee - 16""  My Favorite Things - Distinctive Gifts",4.05E+18,1,26.99,51.41,20140805,2:50:35,amazon.com
95110745,70551147515,1.34397E+19,NA,13,13,20140101,0:08:08,1,mcafee.com,49,Registry Power Cleaner,1.34E+19,1,9.95,10.55,20140101,0:20:06,mcafee.com
95110745,81796338690,4.04667E+18,NA,4,4,20140108,15:43:38,1,amazon.com,99,Slotomania - Slot Machines Apps for Android,4.05E+18,1,0,0,20140108,15:47:13,amazon.com
95157167,30758868290,3.01061E+18,jetblue.com,38,36,20141124,14:20:08,1,jetblue.com,43,#NAME?,3.01E+18,1,0,5.6,20141124,14:39:35,jetblue.com
95157167,30758868290,3.01061E+18,jetblue.com,38,36,20141124,14:20:08,1,jetblue.com,43,#NAME?,3.01E+18,1,86.42,107,20141124,14:55:17,jetblue.com
